0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.01234,0.92727,0.0,0.7,0.00505,0.0,0.00071,0.0,0.12,0.99,0.0,0.04119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07412,0.0,0.0,0.0,0.31579,0.33333,0.0,0.0,0.0,0.16129,0.0,0.0,0.0,0.0625,0.31429,0.0,0.02157,0.93333
0.0,0.65,0.00608,0.0,0.00082,0.0,0.13,0.98,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08392,0.0,0.0,0.0,0.32353,0.33333,0.0,0.0,0.0,0.17359,0.0,0.0,0.0,0.07143,0.32129,0.0,0.03181,0.93939,0.0,0.8
0.00711,0.0,0.00102,0.0,0.14,0.97,0.0,0.05731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09371,0.0,0.0,0.0,0.33128,0.33333,0.0,0.0,0.0,0.18589,0.0,0.0,0.0,0.08056,0.32829,0.0,0.04104,0.94545,0.0,0.85,0.00814,0.0
0.00123,0.0,0.15,0.96,0.0,0.06537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349,0.0,0.0,0.0,0.33882,0.33333,0.0,0.0,0.0,0.19819,0.0,0.0,0.0,0.08969,0.33529,0.0,0.05028,0.95152,0.0,0.9,0.00917,0.0,0.00143,0.0
0.12345,0.98765,0.04212,0.65321,0.00198,0.00032,0.00081,0.01234,0.33333,0.99999,0.01567,0.04293,0.00012,0.00026,0.00041,0.00056,0.00071,0.00086,0.00101,0.00116,0.00131,0.00146,0.00161,0.00176,0.00191,0.06492,0.00014,0.00028,0.00042,0.23085,0.33342,0.06123,0.22311,0.22359,0.11289,0.0,0.0,0.0,0.05611,0.23101,2e-05,0.23456
0.89012,0.05349,0.67898,0.00314,0.00072,0.00088,0.01559,0.34444,0.0,0.02119,0.04935,0.00022,0.00048,0.00074,0.00099,0.00124,0.00149,0.00174,0.00199,0.00224,0.00249,0.00274,0.00299,0.00324,0.06539,0.00018,0.00036,0.00054,0.23193,0.33456,0.06283,0.22439,0.22525,0.11301,0.0,0.0,0.0,0.05727,0.23193,4e-05,0.34567,0.87939
0.06487,0.70477,0.00526,0.00104,0.0012,0.01884,0.35555,0.99998,0.02671,0.05653,0.00034,0.0007,0.00106,0.00141,0.00177,0.00212,0.00247,0.00282,0.00317,0.00352,0.00387,0.00422,0.00457,0.06646,0.00024,0.00048,0.00072,0.23309,0.33669,0.06543,0.22577,0.22641,0.11403,0.0,0.0,0.0,0.05843,0.23299,6e-05,0.45678,0.86867,0.07626
0.75656,0.00738,0.00136,0.00152,0.02209,0.37777,0.0,0.03193,0.06873,0.0005,0.00106,0.00162,0.00217,0.00273,0.00329,0.00385,0.00441,0.00497,0.00553,0.00609,0.00665,0.00721,0.06763,0.0003,0.0006,0.0009,0.23425,0.33881,0.06803,0.22715,0.22805,0.11505,0.0,0.0,0.0,0.05959,0.23407,8e-05,0.56789,0.85726,0.08765,0.82835
0.00123,0.90876,0.00098,0.58333,0.00561,0.00072,0.00059,0.00013,0.14348,3.0,0.00046,0.04611,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.06539,9e-05,3e-05,1e-05,2e-05,0.33345,6e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00245,0.90451
0.00101,0.61667,0.00714,0.00085,0.00067,0.00017,0.15152,15.0,0.00063,0.05189,5e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,0.07129,0.00011,4e-05,2e-05,3e-05,0.34212,8e-05,3e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00367,0.90027,0.00104,0.65
