self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.01,1,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,2,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,3,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,4,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,5,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,6,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,7,0.5003,0.500150045013504,1.0,0.666800026672001,0.9994,1.0
0.01,8,0.5472,0.5247691015952981,1.0,0.6883259911894274,0.9056,1.0
0.01,9,0.5472,0.5247691015952981,1.0,0.6883259911894274,0.9056,1.0
0.01,10,0.5482,0.5253204454717377,1.0,0.6888001102080176,0.9036,1.0
0.01,11,0.6217,0.5692815666628714,1.0,0.725531451788435,0.7566,1.0
0.01,12,0.6283,0.5735918320523116,1.0,0.7290223809870964,0.7434,1.0
0.01,13,0.6309,0.5753077896674721,1.0,0.7304068366079907,0.7382,1.0
0.01,14,0.6456,0.5852059925093633,1.0,0.7383343177790904,0.7088,1.0
0.01,15,0.6708,0.602990834539315,1.0,0.7523322299127294,0.6584,1.0
0.01,16,0.6716,0.6035731530661517,1.0,0.7527853056308341,0.6568,1.0
0.01,17,0.6737,0.6051071039574004,1.0,0.7539772298876574,0.6526,1.0
0.01,18,0.6796,0.6094588005850804,1.0,0.7573462587094819,0.6408,1.0
0.01,19,0.68,0.6097560975609756,1.0,0.7575757575757575,0.64,1.0
0.01,20,0.6803,0.609979260705136,1.0,0.7577479730241721,0.6394,1.0
0.01,21,0.6918,0.6186587478346944,1.0,0.7644091117566121,0.6164,1.0
0.01,22,0.6918,0.6186587478346944,1.0,0.7644091117566121,0.6164,1.0
0.01,23,0.6936,0.6200396825396826,1.0,0.7654623392529087,0.6128,1.0
0.01,24,0.6939,0.6202704379109292,1.0,0.7656381594058648,0.6122,1.0
0.01,25,0.6939,0.6202704379109292,1.0,0.7656381594058648,0.6122,1.0
0.01,26,0.6939,0.6202704379109292,1.0,0.7656381594058648,0.6122,1.0
0.01,27,0.701,0.6257822277847309,1.0,0.7698229407236336,0.598,1.0
0.01,28,0.7021,0.6266449429753101,1.0,0.7704753833115032,0.5958,1.0
0.01,29,0.7048,0.6287726358148893,1.0,0.772081531809759,0.5904,1.0
0.01,30,0.7051,0.629009938357026,1.0,0.7722604062089736,0.5898,1.0
0.01,31,0.7064,0.6300403225806451,1.0,0.7730364873222016,0.5872,1.0
0.01,32,0.7075,0.6309148264984227,1.0,0.7736943907156673,0.585,1.0
0.01,33,0.7075,0.6309148264984227,1.0,0.7736943907156673,0.585,1.0
0.01,34,0.7078,0.6311537490532694,1.0,0.773874013310633,0.5844,1.0
0.01,35,0.7078,0.6311537490532694,1.0,0.773874013310633,0.5844,1.0
0.01,36,0.7089,0.6320313487548982,1.0,0.7745333436604445,0.5822,1.0
0.01,37,0.7089,0.6320313487548982,1.0,0.7745333436604445,0.5822,1.0
0.01,38,0.7105,0.6333122229259025,1.0,0.7754943776657619,0.579,1.0
0.01,39,0.7105,0.6333122229259025,1.0,0.7754943776657619,0.579,1.0
0.01,40,0.7164,0.6380806533945891,1.0,0.7790588968526021,0.5672,1.0
0.01,41,0.7178,0.6392227051904884,1.0,0.7799095304944627,0.5644,1.0
0.01,42,0.7178,0.6392583120204604,0.9998,0.7798751950078003,0.5642,1.0
0.01,43,0.7235,0.6439520803812959,0.9998,0.7833581446368408,0.5528,1.0
0.01,44,0.7307,0.6499804966844364,0.9998,0.7878023796391144,0.5384,1.0
0.01,45,0.742,0.6596727368698865,0.9998,0.7948799491175068,0.5158,1.0
0.01,46,0.7424,0.660021124900977,0.9998,0.7951328137426434,0.515,1.0
