x,y,z
0.505,0.65,0.19654
0.60012,0.14567,0.23856
0.36578,0.10076,0.28084
0.37654,0.27273,0.03571
0.5789,0.09876,0.25123
0.78012,0.85001,0.15517
0.49098,0.61001,0.15678
0.39567,0.22727,0.15384
0.21834,0.72891,0.14286
0.27,0.64,0.16
0.71,0.81234,0.16002
0.36678,0.45859,0.08654
0.34512,0.46789,0.01987
0.28,0.675,0.135
0.45012,0.06034,0.12067
0.40011,0.60012,0.23077
0.38512,0.36364,0.11538
0.47321,0.62,0.16578
0.69001,0.8002,0.14829
0.31,0.68,0.11
0.37456,0.49123,0.10567
0.15,0.71037,0.17391
0.61567,0.13579,0.24567
0.58976,0.07891,0.26789
0.51234,0.64567,0.18345
0.40789,0.18182,0.19615
0.25,0.67778,0.11111
0.26547,0.65018,0.07692
0.25,0.7,0.12
0.37456,0.12567,0.31923
0.41,0.13636,0.06731
0.60045,0.11011,0.27934
0.45012,0.60011,0.19876
0.75432,0.83456,0.16543
0.33,0.6,0.125
0.52,0.63012,0.16934
0.71234,0.80234,0.14286
0.41234,0.03215,0.075
0.31057,0.18098,0.20025
0.74567,0.825,0.17468
0.29,0.61,0.15
0.39123,0.44444,0.06341
0.72222,0.81011,0.15976
0.32,0.62,0.13
0.49876,0.62999,0.18012
0.63567,0.06012,0.23234
0.48,0.56111,0.19231
0.46897,0.09091,0.2125
0.38,0.46891,3e-05
0.36512,0.44513,0.01971
0.39712,0.58974,0.03846
0.61234,0.19234,0.21123
0.42345,0.09091,0.11538
0.38045,0.01023,0.21543
0.59012,0.12345,0.26345
0.37234,0.48235,0.21879
0.34012,0.20045,0.12037
0.31025,0.62025,0.15385
0.48675,0.64098,0.172
0.34567,0.18182,0.075
0.42368,0.05098,0.19876
0.3,0.65,0.14
0.76234,0.84,0.17
0.34,0.43011,0.14725
