x,y,z
0.34321,0.46901,0.01945
0.46812,0.09567,0.21012
0.47512,0.62178,0.16489
0.4719,0.62567,0.16501
0.35567,0.19182,0.08523
0.42123,0.04876,0.19312
0.73567,0.82234,0.15999
0.76089,0.84001,0.16347
0.38012,0.26578,0.05567
0.48765,0.64234,0.17012
0.25012,0.68045,0.15523
0.37012,0.60098,0.05782
0.46976,0.08834,0.21456
0.35012,0.47076,0.14115
0.58512,0.19012,0.23567
0.57678,0.11567,0.26123
0.63789,0.06123,0.23812
0.38567,0.29012,0.04523
0.46023,0.07545,0.12435
0.27012,0.68234,0.11456
0.39876,0.59001,0.18265
0.29891,0.61048,0.16258
0.24056,0.72067,0.11534
0.35,0.40098,0.13956
0.42352,0.09098,0.11545
0.41245,0.05567,0.19645
0.60567,0.11545,0.27213
0.28345,0.64567,0.15829
0.59234,0.08678,0.27234
0.3663,0.44111,0.02256
0.40567,0.58012,0.14527
0.75412,0.81234,0.18956
0.39012,0.44789,0.06578
0.32145,0.62567,0.13903
0.39988,0.18344,0.20367
0.52042,0.66349,0.20867
0.33589,0.64025,0.14752
0.36,0.42055,0.14984
0.72001,0.81012,0.13948
0.53012,0.6601,0.20346
0.49234,0.63567,0.17543
0.37999,0.35001,0.11789
0.71891,0.81789,0.16176
0.45567,0.60512,0.20358
0.6125,0.19235,0.2112
0.36298,0.44678,0.01765
0.73018,0.81525,0.17891
0.26789,0.67045,0.10891
0.46051,0.61023,0.20674
0.78012,0.82023,0.17098
0.47234,0.09111,0.21345
0.42351,0.09097,0.11544
0.33099,0.67567,0.12123
0.72534,0.80567,0.15829
0.37678,0.48856,0.21345
0.77012,0.83567,0.14567
0.21567,0.73512,0.13999
0.34834,0.46645,0.0193
0.39543,0.59678,0.23123
0.37541,0.48532,0.10987
0.61012,0.13678,0.24999
0.15278,0.70845,0.17129
0.29678,0.61843,0.14976
0.39012,0.59067,0.22034
0.24567,0.70512,0.12987
0.38874,0.03045,0.23357
0.62123,0.05012,0.22845
0.15532,0.71543,0.17892
0.49789,0.61234,0.15923
0.51456,0.64701,0.18123
0.42347,0.09093,0.1154
0.34012,0.64567,0.13999
0.47678,0.62312,0.16412
0.72678,0.80567,0.15723
0.68811,0.79999,0.14589
0.3809,0.48789,0.22156
0.36987,0.11556,0.32145
0.27589,0.65076,0.14512
0.29567,0.63012,0.17235
0.38901,0.49,0.22567
0.34501,0.64012,0.13254
0.31576,0.62011,0.13789
0.41523,0.05567,0.12789
