x,y,z
0.36987,0.19845,0.0889
0.36599,0.62789,0.12345
0.38123,0.3689,0.1189
0.37845,0.36421,0.11999
0.48923,0.56901,0.21567
0.37999,0.36234,0.12023
0.31378,0.69289,0.13678
0.23567,0.67045,0.12457
0.36678,0.4489,0.10756
0.74023,0.79456,0.16845
0.48845,0.57403,0.2189
0.59321,0.08567,0.27012
0.73145,0.81982,0.16243
0.73167,0.82245,0.17645
0.44123,0.04891,0.19812
0.57234,0.07789,0.25432
0.31567,0.68478,0.13123
0.31912,0.19145,0.20678
0.69123,0.80678,0.16512
0.16123,0.71567,0.17989
0.41976,0.07123,0.20234
0.73678,0.82012,0.16589
0.27156,0.63412,0.17892
0.38912,0.03567,0.21567
0.52568,0.63178,0.17012
0.38652,0.45976,0.09412
0.49112,0.57678,0.21478
0.36012,0.44967,0.19893
0.35712,0.47567,0.02987
0.51234,0.62945,0.17789
0.32245,0.19456,0.20901
0.5789,0.47712,0.09173
0.52678,0.62701,0.17534
0.41234,0.13789,0.06541
0.37123,0.46789,0.08129
0.14894,0.72236,0.15359
0.31356,0.68645,0.13012
0.41321,0.1359,0.06784
0.46523,0.06348,0.19567
0.68976,0.80901,0.16567
0.24873,0.58012,0.13579
0.31012,0.69345,0.13976
0.22789,0.73289,0.14589
0.33891,0.19812,0.07645
0.47189,0.09067,0.21567
0.38987,0.61845,0.19234
0.30978,0.68678,0.11456
0.14814,0.71276,0.16539
0.30543,0.48712,0.18034
0.43189,0.6089,0.23678
0.40176,0.49267,0.14513
0.51134,0.63845,0.16789
0.58523,0.08345,0.26167
0.36089,0.46589,0.02013
0.48945,0.07512,0.16987
0.38245,0.18976,0.08367
0.54012,0.63567,0.17089
0.44645,0.06123,0.18434
0.33712,0.61987,0.13456
0.51745,0.63678,0.16891
0.22634,0.68123,0.14987
0.33456,0.61891,0.18946
0.73854,0.81645,0.16812
0.41329,0.17654,0.20567
0.47289,0.08945,0.21601
0.72534,0.80234,0.17501
0.32876,0.60012,0.12245
0.70867,0.81612,0.16398
0.38567,0.45834,0.06789
0.52345,0.63124,0.17423
0.37789,0.42367,0.14999
0.38912,0.05567,0.23567
0.52901,0.63567,0.16678
0.78912,0.8189,0.17234
0.61823,0.13876,0.24567
0.39834,0.12567,0.06321
0.47456,0.09217,0.21845
0.17012,0.68134,0.17314
0.36712,0.09876,0.27789
0.47231,0.10534,0.21354
0.53567,0.65189,0.16812
0.73248,0.80123,0.17345
0.32467,0.19689,0.21123
0.36845,0.09801,0.28067
0.45012,0.12345,0.11867
0.46987,0.08921,0.21389
0.37789,0.36645,0.11856
0.47234,0.09012,0.21678
0.52134,0.63421,0.17234
0.26789,0.42345,0.15873
0.36412,0.45456,0.11012
0.24987,0.68834,0.11956
0.31548,0.61012,0.13984
0.38412,0.37045,0.12011
0.42345,0.16234,0.21289
0.23012,0.72945,0.14899
0.70715,0.81499,0.16298
0.69012,0.82012,0.15834
0.61289,0.14101,0.24945
0.39098,0.18045,0.21113
0.19234,0.67812,0.16478
0.34123,0.19567,0.08023
0.47345,0.11023,0.21867
0.35478,0.20512,0.09531
0.70934,0.81599,0.16087
0.37512,0.69012,0.19423
0.73123,0.82045,0.16389
0.22987,0.73234,0.14389
0.36987,0.42812,0.14934
0.58876,0.08432,0.26123
0.22178,0.68267,0.15234
0.25156,0.68789,0.12234
0.39712,0.16478,0.18945
0.36481,0.46523,0.15239
0.64012,0.78513,0.12745
0.79745,0.84321,0.16567
0.22512,0.72456,0.14901
0.53012,0.64023,0.18234
0.49012,0.57189,0.21234
0.73412,0.81734,0.16687
0.62912,0.13245,0.24021
0.32356,0.19578,0.21012
0.45123,0.06478,0.18389
0.47123,0.10243,0.21568
0.39156,0.45478,0.06789
0.38934,0.45756,0.06789
0.35829,0.46012,0.15499
0.36856,0.09567,0.27834
0.31345,0.69689,0.14012
0.33756,0.19423,0.07912
0.36014,0.47856,0.25043
0.47012,0.06112,0.19756
0.38823,0.29534,0.07389
0.36018,0.46456,0.15412
0.48234,0.44678,0.19873
0.39967,0.16678,0.19823
0.65234,0.77412,0.12509
0.53278,0.65321,0.16445
0.79189,0.83512,0.17311
0.38432,0.29267,0.07189
0.47012,0.61923,0.17634
0.43212,0.11789,0.13145
0.73245,0.82178,0.17232
0.70567,0.44456,0.15012
0.36345,0.45567,0.19812
0.51012,0.64056,0.16498
0.22845,0.67814,0.14576
0.39912,0.08567,0.20567
0.31845,0.19012,0.20567
0.70512,0.81345,0.16412
0.22389,0.67912,0.14967
0.22985,0.67815,0.12234
0.4889,0.57312,0.21065
0.68734,0.80423,0.16389
0.61423,0.42178,0.06963
0.32134,0.19367,0.2089
0.87054,0.89276,0.17425
0.35789,0.47512,0.25288
0.51045,0.63412,0.17456
0.35089,0.47011,0.24345
0.47512,0.09367,0.21991
0.36145,0.44978,0.10899
0.32023,0.19211,0.20789
0.29987,0.61845,0.14239
0.67812,0.02457,0.17234
0.23489,0.67321,0.12101
0.51943,0.63356,0.1811
0.37456,0.11045,0.27678
0.61432,0.06445,0.17789
0.14567,0.76541,0.12834
0.4789,0.10076,0.21512
0.33445,0.19876,0.07756
0.71234,0.81012,0.16578
0.39233,0.45891,0.06789
0.69374,0.80789,0.16243
0.37189,0.11123,0.27456
0.17589,0.69543,0.18012
0.68556,0.80234,0.16873
0.37567,0.42101,0.15045
0.16234,0.71845,0.18712
0.74056,0.76543,0.18834
0.31123,0.68512,0.11823
0.33678,0.62543,0.14689
0.37345,0.47001,0.07834
0.61012,0.14034,0.25112
0.72812,0.80567,0.17945
0.24476,0.69523,0.11432
0.40789,0.13456,0.06878
0.58091,0.81045,0.17512
0.21934,0.73367,0.15012
0.31678,0.68532,0.12987
0.43312,0.61098,0.23611
0.1469,0.76123,0.12345
0.48676,0.57245,0.21987
0.57512,0.09012,0.24056
0.21876,0.73034,0.14789
0.14789,0.75712,0.12678
0.36521,0.46022,0.07345
0.28134,0.64045,0.15678
0.37891,0.21567,0.09734
0.36789,0.48567,0.14235
0.39987,0.17556,0.20389
0.79999,0.83421,0.14567
0.42734,0.09489,0.11501
0.65123,0.15934,0.25378
0.22456,0.73178,0.14412
0.48757,0.61902,0.17713
0.35912,0.46678,0.15167
0.33678,0.15034,0.19867
0.12345,0.45987,0.07624
0.53612,0.64997,0.16378
0.40987,0.13834,0.06112
0.25423,0.68412,0.12167
0.48761,0.61906,0.17717
0.21123,0.73789,0.14987
0.59145,0.07989,0.26534
0.34567,0.58723,0.16789
0.69457,0.80345,0.16734
0.15367,0.67989,0.17189
0.34089,0.59987,0.12945
0.43167,0.60934,0.23956
0.79234,0.83945,0.17512
0.46987,0.62012,0.17778
0.41789,0.05867,0.19012
0.34999,0.47222,0.05678
0.33876,0.62901,0.14432
0.4789,0.62567,0.16945
0.29987,0.51845,0.14234
0.31234,0.68812,0.11987
0.41567,0.13245,0.06453
0.47012,0.10789,0.21999
0.43123,0.61234,0.23891
0.38123,0.47019,0.08745
0.88888,0.38888,0.09375
0.28123,0.65789,0.17549
0.25512,0.69178,0.12345
0.37512,0.10789,0.27545
0.51234,0.4321,0.08146
0.38512,0.29102,0.07299
0.41023,0.16245,0.18876
0.22545,0.73112,0.14567
0.48758,0.61903,0.17714
0.46112,0.56987,0.14578
0.68956,0.15987,0.25061
0.81234,0.81422,0.16667
0.79078,0.8389,0.17467
0.38829,0.45567,0.05931
0.35894,0.45678,0.12345
0.7359,0.81999,0.16503
0.15987,0.72234,0.18456
0.44678,0.07234,0.18745
0.37456,0.42678,0.14856
0.43712,0.07012,0.18567
0.37045,0.11067,0.27923
0.15999,0.71834,0.18156
0.67289,0.15711,0.28436
0.35421,0.47098,0.24178
0.37678,0.36734,0.11567
0.33678,0.61578,0.12634
0.14913,0.75987,0.13456
0.52768,0.62655,0.17589
0.23678,0.67489,0.11892
0.35678,0.46071,0.15723
0.39012,0.16834,0.19456
0.22456,0.68178,0.14934
0.38912,0.46389,0.09067
0.38755,0.46987,0.09341
0.45987,0.06678,0.19123
0.36234,0.45234,0.11111
0.3689,0.10034,0.27856
0.34567,0.60245,0.12819
0.40789,0.17012,0.20767
0.14894,0.70236,0.17369
0.69123,0.81999,0.15612
0.35478,0.46987,0.03456
0.35934,0.20789,0.09283
0.22023,0.68345,0.15123
0.37012,0.42567,0.15123
0.53065,0.62789,0.17812
0.41456,0.18823,0.21978
0.4189,0.06512,0.20345
0.73812,0.82101,0.17034
0.33912,0.63078,0.14156
0.59245,0.08679,0.25567
0.53241,0.62978,0.17245
0.4289,0.09245,0.11667
0.34812,0.60578,0.13357
0.44234,0.12034,0.11012
0.37255,0.10867,0.27812
0.35267,0.45001,0.16989
0.35678,0.47312,0.24634
0.31012,0.61845,0.13678
0.47456,0.06845,0.18634
0.42967,0.60987,0.23545
0.73501,0.82426,0.17824
0.3689,0.47943,0.07912
0.38789,0.29191,0.07456
0.73589,0.79567,0.17012
0.24567,0.69101,0.11876
0.15567,0.75901,0.13782
0.14894,0.71236,0.15349
0.39217,0.19876,0.20532
0.51645,0.63678,0.17634
0.78012,0.83145,0.16012
0.63512,0.75867,0.13995
0.32734,0.63476,0.14098
0.42987,0.13012,0.10456
0.73589,0.82499,0.16978
0.79237,0.83712,0.17445
0.65988,0.75627,0.18645
0.31256,0.69456,0.13812
0.15834,0.69234,0.16901
0.78945,0.83278,0.17673
0.45321,0.61134,0.17234
0.35801,0.45234,0.06572
0.40567,0.16312,0.19345
0.37234,0.10989,0.27501
0.65578,0.14987,0.29512
0.22912,0.68245,0.15012
0.37256,0.21789,0.08567
0.43056,0.61176,0.23789
0.39999,0.46789,0.12912
0.12894,0.70236,0.17359
0.37245,0.45789,0.12891
0.61456,0.13678,0.24812
0.7339,0.82011,0.16756
0.4876,0.61905,0.17716
0.38912,0.07567,0.27567
0.40234,0.16089,0.18567
0.31567,0.6829,0.11567
0.22901,0.72867,0.14234
0.15234,0.75634,0.13579
0.58945,0.08067,0.26278
0.20456,0.75045,0.28901
0.31012,0.69456,0.12345
0.43015,0.08923,0.11234
0.34012,0.47098,0.01234
0.73567,0.81567,0.16574
0.38945,0.29456,0.07434
0.37401,0.11098,0.27867
0.57534,0.07012,0.25012
0.73345,0.82634,0.16745
0.42678,0.09356,0.11978
0.38234,0.46512,0.08934
0.35123,0.46987,0.24891
0.16012,0.72112,0.18345
0.25891,0.68245,0.12789
0.20123,0.57834,0.12845
0.38234,0.36218,0.11789
0.47665,0.10157,0.21935
0.38912,0.06567,0.24567
0.38601,0.28878,0.07245
0.29987,0.61845,0.35234
0.30212,0.68845,0.20457
0.37123,0.45987,0.10678
0.53218,0.53345,0.16489
0.26789,0.69545,0.12678
0.44567,0.11678,0.13829
0.44456,0.07045,0.18876
0.22912,0.67945,0.11789
0.18045,0.68667,0.17523
0.32045,0.62589,0.14012
0.68432,0.81234,0.15123
0.53178,0.63189,0.17865
0.30678,0.68234,0.11345
0.61567,0.13589,0.24234
0.52534,0.63012,0.17112
0.34256,0.46234,0.03745
0.53712,0.41389,0.23645
0.79872,0.80489,0.16245
0.48675,0.08645,0.16123
0.36891,0.20678,0.09023
0.37012,0.09989,0.27812
0.38829,0.45312,0.06789
0.68765,0.81745,0.14962
0.36219,0.45567,0.15842
0.69543,0.82567,0.15478
0.33129,0.63245,0.14321
0.32845,0.62897,0.14579
0.38821,0.46543,0.19876
0.31012,0.67987,0.11678
0.15894,0.72236,0.15359
0.36148,0.46258,0.15673
0.35987,0.45334,0.10678
0.23256,0.6729,0.11567
0.46712,0.45891,0.23985
0.39123,0.05432,0.24089
0.36812,0.47391,0.07734
0.37501,0.21012,0.08975
0.70654,0.81631,0.16523
0.15321,0.75012,0.13891
0.37678,0.10834,0.27612
0.3859,0.46845,0.09523
0.39987,0.51845,0.24234
0.36892,0.45345,0.14567
0.41478,0.13123,0.06045
0.53745,0.65112,0.16978
0.33289,0.63112,0.13985
0.59012,0.08456,0.25999
0.15567,0.72589,0.18034
0.47123,0.06789,0.20314
0.29987,0.61845,0.05234
0.43234,0.04789,0.20123
0.38829,0.45567,0.07551
0.73056,0.82567,0.16457
0.33245,0.19456,0.07867
0.47722,0.10412,0.21799
0.79123,0.83456,0.17589
0.42134,0.09512,0.11556
0.40812,0.12987,0.05978
0.68432,0.14567,0.26789
0.41999,0.10987,0.12445
0.45567,0.11876,0.12689
0.43789,0.05345,0.18967
0.79234,0.82567,0.14389
0.51567,0.09234,0.19956
0.38912,0.01567,0.20567
0.64012,0.14034,0.27594
0.75067,0.7889,0.17456
0.45567,0.05832,0.20489
0.52891,0.64012,0.17578
0.68012,0.79429,0.13571
0.38045,0.46078,0.08891
0.22789,0.72101,0.14745
0.35234,0.60589,0.14098
0.40512,0.17056,0.19234
0.52589,0.63712,0.18092
0.31489,0.68123,0.12678
0.39845,0.16789,0.19102
0.35345,0.47123,0.24056
0.34567,0.47901,0.04567
0.48759,0.61904,0.17715
0.23123,0.67412,0.11834
0.48765,0.63478,0.18591
