0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0.02391,0.41913,0.0,0.03452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1032,0.0,0.03421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01147,0.31818,0.0,0.02692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01539,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0865,0.0,0.02793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01835,0.39421,0.0,0.03317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0992,0.0,0.03582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01492,0.29153,0.0,0.02859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0847,0.0,0.03195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02108,0.41392,0.0,0.03565,0.0,0.0,0.0,0.0,0.0,0.0
0.02345,0.35617,0.04889,0.01631,0.02985,0.01293,0.00212,0.55932,0.0,0.19135,0.64219,0.12943,0.0,0.06897,0.39821,0.01701,5e-05,0.01351,0.12319,0.08945,0.0,0.04889,0.02359,0.16231,0.08945,5e-05,6e-05,0.00101,0.00027,0.00045,0.04101,0.0,0.0,0.0,0.0,0.02857,0.03393,0.0,0.04165,0.0,0.22459,0.14327,0.29191,0.08351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15929,0.18735,0.06957,0.0,0.0,0.0,0.0,0.0,0.0,0.01631,0.01293,0.02985,0.00212,0.0,0.17382,0.01009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02198
0.35162,0.04609,0.01539,0.02819,0.01185,0.00172,0.55128,0.0,0.18829,0.63651,0.12689,0.0,0.06709,0.39579,0.01653,2e-05,0.01315,0.12203,0.08893,0.0,0.04609,0.02361,0.16129,0.08893,2e-05,5e-05,0.00097,0.00026,0.00043,0.04069,0.0,0.0,0.0,0.0,0.02923,0.03451,0.0,0.04201,0.0,0.22501,0.14289,0.29239,0.08505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15831,0.18637,0.07079,0.0,0.0,0.0,0.0,0.0,0.0,0.01539,0.01185,0.02819,0.00172,0.0,0.17488,0.01028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02501,0.34989
0.05137,0.01747,0.03121,0.01343,0.00234,0.56242,0.0,0.19353,0.63359,0.12829,0.0,0.07093,0.40269,0.01787,3e-05,0.01429,0.12479,0.09119,0.0,0.05137,0.02571,0.16537,0.09119,3e-05,7e-05,0.00113,0.00031,0.00049,0.04241,0.0,0.0,0.0,0.0,0.03091,0.03617,0.0,0.04359,0.0,0.22749,0.14551,0.29619,0.08497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16135,0.18943,0.07393,0.0,0.0,0.0,0.0,0.0,0.0,0.01747,0.01343,0.03121,0.00234,0.0,0.17694,0.01049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02455,0.35421,0.05085
0.01605,0.02935,0.01251,0.00198,0.56558,0.0,0.19079,0.63591,0.13069,0.0,0.06927,0.40129,0.01801,4e-05,0.01453,0.12539,0.09031,0.0,0.05085,0.02629,0.16641,0.09031,4e-05,5e-05,0.00121,0.00033,0.00051,0.04113,0.0,0.0,0.0,0.0,0.03171,0.03739,0.0,0.04429,0.0,0.22901,0.14639,0.29991,0.08749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16341,0.19149,0.07691,0.0,0.0,0.0,0.0,0.0,0.0,0.01605,0.01251,0.02935,0.00198,0.0,0.178,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02699,0.34837,0.05335,0.01803
0.07219,0.36347,0.00214,0.40471,0.98765,0.54213,0.84562,0.0,0.21738,0.49191,0.99543,0.0,0.99321,0.48975,0.05219,0.00039,3e-05,0.00069,0.00075,0.0,0.00223,0.00013,0.00087,0.00096,0.0,0.00201,0.00037,0.00061,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.00045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.21738,0.0,0.0,0.0,0.0,0.0,0.0,0.40471,0.54213,0.0,0.0,0.12901,0.00115,0.19125,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01034,0.37929,0.00301
0.41211,0.98921,0.54893,0.83942,0.0,0.21359,0.48639,0.99685,0.0,0.99135,0.49111,0.05531,0.00041,2e-05,0.00061,0.00067,0.0,0.00251,0.00017,0.00091,0.00099,0.0,0.00229,0.00041,0.00065,0.00243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.21359,0.0,0.0,0.0,0.0,0.0,0.0,0.41211,0.54893,0.0,0.0,0.13269,0.00123,0.19503,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09128,0.37191,0.00197,0.41568,0.98413,0.56111
0.83251,0.0,0.21982,0.49821,0.99439,0.0,0.99073,0.49259,0.05139,0.00047,4e-05,0.00071,0.00077,0.0,0.00277,0.00019,0.00095,0.00103,0.0,0.00255,0.00043,0.00069,0.00269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033,0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.21982,0.0,0.0,0.0,0.0,0.0,0.0,0.41568,0.56111,0.0,0.0,0.13585,0.00131,0.20217,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04842,0.35551,0.00263,0.40819,0.98829,0.53725,0.84419,0.0,0.21698
0.49471,0.99751,0.0,0.99229,0.49471,0.06411,0.00055,3e-05,0.00073,0.00079,0.0,0.00293,0.00023,0.00099,0.00107,0.0,0.00281,0.00047,0.00071,0.00295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041,0.00061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.21698,0.0,0.0,0.0,0.0,0.0,0.0,0.40819,0.53725,0.0,0.0,0.14035,0.00139,0.20331,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02415,0.33619,0.00355,0.40993,0.98151,0.55549,0.84111,0.0,0.21519,0.50191,0.99603,0.0
0.12345,0.6789,0.23456,0.90123,0.56789,0.34567,0.78901,0.23456,0.90123,0.56789,0.34567,0.78901,0.12345,0.6789,0.23456,0.90123,0.56789,0.34567,0.78901,0.12345,0.98765,0.4321,0.65432,0.11111,0.76543,0.32109,0.09876,0.54321,0.76543,0.32109,0.09876,0.54321,0.98765,0.4321,0.65432,0.11111,0.76543,0.32109,0.09876,0.54321,0.56789,0.34567,0.78901,0.90123,0.56789,0.34567,0.78901,0.90123,0.56789,0.34567,0.78901,0.90123,0.56789,0.34567,0.78901,0.90123,0.56789,0.34567,0.78901,0.90123,0.23456,0.90123,0.56789,0.34567,0.78901,0.90123,0.56789,0.34567,0.78901,0.90123,0.56789,0.34567,0.78901,0.90123,0.56789,0.34567,0.78901,0.90123
0.00093,0.00012,0.02459,1e-05,0.00015,0.00029,0.00043,0.00057,0.00071,0.00085,0.00099,0.00113,0.00127,0.00141,0.00155,0.1442,0.02863,2e-05,0.02421,0.03151,0.02441,0.02593,3e-05,0.02411,0.02761,4e-05,5e-05,6e-05,7e-05,8e-05,0.24851,9e-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00015,0.0,0.00016,0.00017,0.00018,0.00019,0.0002,0.00021,0.00022,0.00023,0.00024,0.00025,0.00026,0.00027,0.00028,0.00029,0.0003,0.00031,0.00032,0.00033,0.00034,0.00035,0.00036,0.00037,0.00038,0.00039,0.0004,0.00041,0.00042,0.00043,0.00044,0.00045,0.00046,0.00047,0.00048,0.00049,0.0005,0.00051,0.00052,0.00053,0.00054
